Kapasitas Energi Awal (kWH),Kecepatan (km/jam),Jarak Tempuh (km),Pemakaian Energi kWH
1.57,40.00,16.80,0.92
1.82,40.00,17.00,0.80
1.97,40.00,17.80,1.11
1.37,40.00,8.60,0.46
1.99,40.00,17.20,0.87
2.62,40.00,17.20,1.22
1.92,50.00,15.00,1.51
1.82,50.00,8.60,0.50
1.60,50.00,12.20,0.60
2.95,50.00,3.10,0.11
1.36,50.00,12.70,0.59
1.66,50.00,16.80,0.95
2.62,50.00,8.30,0.43
2.14,50.00,6.00,0.39
1.92,50.00,5.00,0.39
2.79,50.00,3.20,0.31
2.43,50.00,26.30,1.92
2.66,50.00,20.40,1.23
2.30,50.00,6.40,0.72
1.28,50.00,19.10,1.21
2.31,50.00,21.20,1.30
2.60,50.00,5.40,0.41
1.79,50.00,15.70,1.20
2.03,50.00,18.80,1.10
2.58,50.00,14.20,0.98
2.42,60.00,22.80,1.34
2.35,60.00,18.20,1.08
2.81,60.00,14.80,0.79
1.57,40.00,15.30,0.95
1.82,40.00,13.00,0.85
1.97,40.00,17.30,1.16
1.37,40.00,6.30,0.51
1.99,40.00,9.90,0.56
2.62,40.00,17.70,1.28
1.92,50.00,16.90,1.10
1.82,50.00,18.30,1.00
1.60,50.00,12.20,1.10
2.95,50.00,3.10,0.61
1.36,50.00,12.70,1.09
1.66,50.00,16.80,1.45
2.62,50.00,8.30,0.95
2.14,50.00,6.00,0.70
1.92,50.00,4.40,0.30
2.79,50.00,3.20,0.22
2.43,50.00,26.30,1.87
2.66,50.00,20.40,1.31
2.30,50.00,5.40,0.56
1.28,50.00,12.70,1.25
2.31,50.00,17.50,1.37
2.60,50.00,8.20,0.75
1.79,50.00,20.10,1.17
2.03,60.00,19.30,1.30
2.58,60.00,20.90,1.25
2.42,60.00,24.40,1.50
2.35,60.00,23.10,1.71
2.81,60.00,16.60,1.01
2.22,70.00,18.70,1.11
2.48,70.00,14.55,0.80
2.18,70.00,15.19,0.99
2.16,70.00,11.40,1.21
2.63,70.00,25.65,1.96
2.13,70.00,21.83,1.34
2.37,70.00,28.29,2.10
2.48,70.00,19.61,1.30
2.65,70.00,19.65,1.34
2.33,70.00,21.44,1.33
2.03,70.00,23.70,1.74
2.78,70.00,19.90,1.35
2.87,70.00,20.76,1.28
2.53,70.00,26.36,1.89
2.34,70.00,33.96,2.01
2.11,70.00,32.46,2.00
2.79,70.00,19.43,1.26
2.47,70.00,37.96,2.10
2.08,70.00,31.73,1.99
2.72,70.00,10.86,1.21
2.36,70.00,33.28,2.00